file_name,deployment,location,pollutant,timezone,start,end,header_type,tz_change_from_ref,,,,,,,,,,,,,,,,,,,,,,,
C24_101023_122023,C,,TVOC,PDT,10/10/2023 0:00,12/19/2023 22:59,3.1.0,1,"Cropped to after daylight savings shift, at least until I clarify with inner port data",,,,,,,,,,,,,,,,,,,,,,
C8_111023_121423,C,,NotUsing,MST,12/8/2023 10:30,12/14/2023 13:15,3.1.0,0,,,,,,,,,,,,,,,,,,,,,,,
C8_013024_031524,C,,CO,MST,1/30/2024 16:00,3/15/2024 14:15,3.1.2,0,,,,,,,,,,,,,,,,,,,,,,,
C8_013024_031524,C,,NO2,MST,1/30/2024 16:00,3/15/2024 14:15,3.1.2,0,,,,,,,,,,,,,,,,,,,,,,,
C8_013024_031524,C,,O3,MST,1/30/2024 16:00,3/15/2024 14:15,3.1.2,0,,,,,,,,,,,,,,,,,,,,,,,
C24_101023_122023,C,,BTEX,PDT,11/5/2023 0:00,12/19/2023 23:59,3.1.0,1,"Cropped to after daylight savings shift, at least until I clarify with inner port data",,,,,,,,,,,,,,,,,,,,,,
C24_122023_031024,C,,BTEX,PDT,12/20/2023 0:00,3/9/2024 23:59,3.1.0,1,"Cropped to before daylight savings shift, at least until I clarify with inner port data",,,,,,,,,,,,,,,,,,,,,,
C7_101023_122023,C,,Temp,PDT,10/27/2023 0:00,12/20/2023 23:59,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C7_101023_122023,C,,CH4,PDT,10/11/2023 0:00,12/20/2023 23:59,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C7_101023_122023,C,,NO_2,PDT,10/11/2023 0:00,12/20/2023 23:59,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C7_101023_122023,C,,NO,PDT,10/11/2023 0:00,12/20/2023 23:59,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C7_122023_031824,C,,CH4,PDT,12/20/2023 0:00,3/18/2024 23:59,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C7_122023_031824,C,,Temp,PDT,12/20/2023 0:00,3/18/2024 23:59,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C7_122023_031824,C,,NO_2,PDT,12/20/2023 0:00,3/18/2024 23:59,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C24_122023_031024,C,,TVOC,PDT,12/20/2023 1:00,3/18/2024 23:59,3.1.0,1,"Cropped to before daylight savings shift, at least until I clarify with inner port data",,,,,,,,,,,,,,,,,,,,,,
C24_101023_122023,C,,H2S,PDT,10/11/2023 0:00,12/19/2023 23:59,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C1_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,1,TZ shift should be zero when doing CO,,,,,,,,,,,,,,,,,,,,,,
C2_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C3_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C4_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C5_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C6_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C7_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C8_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C9_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C10_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
C11_harmon1,H,,,PDT,10/4/2023 9:30,10/10/2023 8:00,3.1.0,1,,,,,,,,,,,,,,,,,,,,,,,
